Date,Department,Ma_nhom_NSP1,NSP1_Name,NSP2_Name,NSP1_Code,NSP2_Code,Deliver
2024-09-30,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,7801600.0
2022-03-27,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,2043047400.0
2023-09-19,PXK,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,1114687728.0
2021-08-08,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,29004000.0
2021-06-03,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,55728460.0
2025-02-26,BH1,L1,1- SP Công nghệ nền,SP Khác,A001,B003,753100.0
2022-01-27,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,197385400.0
2021-06-16,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,1209302840.0
2023-11-23,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,600902279.0
2024-11-28,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,46391493.0
2023-01-31,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,5245740369.0
2023-12-09,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,6895339457.0
2022-04-15,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,281089030.0
2023-10-17,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,78883400.0
2024-06-21,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,11830000.0
2022-11-24,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,73961750.0
2024-03-30,BH2,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,84936000.0
2023-05-06,BH1,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,24260000.0
2020-08-24,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,87779460.0
2024-07-01,BH2,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,1399900.0
2020-11-24,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,214756540.0
2024-06-30,BH1,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,28321482.0
2024-05-25,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,60517500.0
2024-02-05,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,284608148.0
2024-10-19,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,109105200.0
2022-01-04,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,60543000.0
2021-12-08,PXK,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,571498020.0
2021-11-12,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,472474480.0
2022-09-07,BH2,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,3564800.0
2021-08-04,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,33720000.0
2023-02-23,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,830000.0
2025-01-09,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,115142024.0
2024-04-03,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,265538570.4
2021-07-30,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,92156100.0
2023-12-09,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,13563934.0
2023-01-13,BH2,L5,5- SP IOT,IoT,A005,B013,26036280.0
2021-10-27,BH1,L1,1- SP Công nghệ nền,SP Khác,A001,B003,9484000.0
2022-09-19,PXK,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,1292723645.0
2023-02-21,BH1,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,28148000.0
2020-12-11,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,599886120.0
2022-02-21,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,10458400.0
2023-11-08,PXK,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,0.0
2020-08-20,BH1,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,425400.0
2024-05-07,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,260000.0
2023-04-20,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,4246560512.0
2023-07-19,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,180646800.0
2024-01-09,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,52533900.0
2024-03-11,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,212099890.0
2022-06-14,BH2,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,6070000.0
2022-04-01,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,260485600.0
2024-05-30,PXK,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,1030412100.0
2023-09-13,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,165191800.0
2024-02-23,BH1,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,2230000.0
2021-09-03,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,261430200.0
2023-09-28,BH2,L5,5- SP IOT,IoT,A005,B013,99661873.2
2023-02-09,BH2,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,11400000.0
2023-09-25,BH1,L5,5- SP IOT,IoT,A005,B013,6831593.0
2021-05-12,BH1,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,4579200.0
2022-05-30,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,24643800.0
2022-07-05,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,716774300.0
2022-11-02,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,39947320.0
2022-07-27,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,191030295.0
2024-11-12,PXK,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,1336678677.0
2024-03-15,PXK,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,5097898733.0
2021-05-25,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,23709800.0
2022-09-09,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,2442613010.0
2022-08-31,BH2,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,38779500.0
2020-07-17,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,28785400.0
2023-12-06,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,3329875818.0
2022-01-25,BH2,L5,5- SP IOT,IoT,A005,B013,96385500.0
2024-09-11,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,220469500.0
2023-12-30,BH2,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,32270800.0
2021-05-24,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,6044440670.0
2022-01-21,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,31600200.0
2022-09-20,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,4546752168.0
2022-12-24,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,142982100.0
2023-11-11,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,192463220.0
2024-07-13,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,121104000.0
2021-06-24,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,2342398900.0
2024-09-05,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,117070559.0
2022-12-24,BH1,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,160026962.9
2022-06-30,BH2,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,99106730.0
2025-01-10,BH2,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,432000.0
2025-02-10,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,226850645.0
2021-10-20,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,1658500.0
2021-12-23,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,9061816340.0
2022-11-03,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,492612700.0
2021-02-28,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,754661500.0
2020-10-17,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,118886400.0
2020-11-07,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,175000000.0
2021-03-03,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,542731000.0
2025-01-14,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,841497100.0
2021-03-08,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,583621440.0
2022-09-08,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,721776400.0
2024-10-01,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,2679900.0
2022-08-27,BH2,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,347000.0
2022-12-23,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,71756592.0
2021-10-20,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,444421516.0
2021-07-21,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,3052800.0
2023-12-05,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,61963440.0
2022-12-15,BH2,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,90274900.0
2022-09-17,BH2,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,9071440.0
2023-02-27,BH2,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,5988500.0
2023-07-18,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,102003000.0
2024-01-05,BH1,L3,3- SP SMART,Sản phẩm nền tảng,A003,B018,41652000.0
2024-01-13,BH1,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,1367200.0
2024-03-30,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,155357000.0
2021-10-30,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,1091151060.0
2023-04-12,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,2129648860.0
2024-11-28,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,11539000.0
2023-10-04,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,34971546.0
2022-06-25,BH1,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,7161080.0
2021-04-02,BH1,L1,1- SP Công nghệ nền,SP Khác,A001,B003,850000.0
2023-09-22,BH1,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,765000.0
2020-10-09,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,31923960.0
2024-03-05,BH1,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,7124000.0
2024-09-28,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,36000000.0
2021-07-13,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,11229000.0
2023-09-19,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,586502780.0
2023-04-10,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,197686700.0
2024-07-09,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,1863500.0
2021-11-16,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,370500.0
2021-08-19,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,131836000.0
2023-01-30,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,31957800.0
2024-12-03,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,810480000.0
2024-05-01,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,54262548.15
2023-05-06,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,2065553078.0
2024-10-11,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,19372000.0
2020-09-05,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,227159572.8
2023-09-05,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,11929400.0
2021-04-22,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,126621660.0
2022-08-23,PXK,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,334170600.0
2023-10-03,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,153879746.0
2021-04-16,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,52379400.0
2022-05-18,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,23233000.0
2024-11-22,BH2,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,784300.0
2025-02-13,BH1,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,19731400.0
2022-06-24,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,9565000.0
2022-12-11,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,358924080.0
2024-01-09,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,1989859026.0
2022-03-12,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,2186000.0
2022-06-25,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,1668633714.0
2021-02-03,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,340354800.0
2023-07-21,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,127100170.0
2023-04-27,PXK,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,8115360.0
2024-03-14,BH2,L5,5- SP IOT,IoT,A005,B013,3098521.0
2022-10-11,BH2,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,46457800.0
2022-05-09,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,318461326.0
2024-04-05,BH1,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,109156285.3
2023-08-09,BH1,L1,1- SP Công nghệ nền,SP Khác,A001,B003,4949200.0
2023-06-23,PXK,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,2536783872.0
2024-08-22,BH2,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,15269400.0
2024-05-31,BH1,L5,5- SP IOT,IoT,A005,B013,48021109.85
2024-08-05,BH1,L1,1- SP Công nghệ nền,SP Khác,A001,B003,36284000.0
2020-11-18,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,3039436570.0
2020-08-22,BH1,L1,1- SP Công nghệ nền,SP Khác,A001,B003,735000.0
2022-03-26,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,1119391510.0
2024-12-29,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,139528769.0
2023-12-05,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,314462260.0
2025-02-12,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,124204200.0
2023-08-11,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,116730000.0
2024-11-22,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,23781000.0
2023-08-24,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,6961500.0
2024-04-10,BH2,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,9386000.0
2021-06-18,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,7820700.0
2020-10-05,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,626744350.0
2023-04-08,BH1,L5,5- SP IOT,IoT,A005,B013,10649852.0
2022-10-07,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,1084200.0
2022-06-21,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,38966300.0
2020-10-29,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,84537900.0
2021-06-24,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,325058040.0
2021-04-01,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,53127780.0
2022-02-10,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,52020000.0
2024-05-25,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,56984400.0
2020-06-23,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,536812420.0
2024-08-19,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,321771340.0
2022-12-24,BH1,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,22953984.0
2022-05-20,BH1,L5,5- SP IOT,IoT,A005,B013,6030800.0
2022-07-20,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,2921155765.0
2023-11-30,BH1,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,469444.0
2022-02-13,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,245104000.0
2025-02-04,BH1,L5,5- SP IOT,IoT,A005,B013,3028100.0
2021-08-30,BH1,L1,1- SP Công nghệ nền,SP Khác,A001,B003,924000.0
2021-05-14,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,188393420.4
2022-03-09,PXK,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,2241141535.0
2024-02-16,BH1,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,11185185.17
2022-12-19,BH1,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,62749185.0
2024-09-28,BH1,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,53097800.0
2022-02-16,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,463661830.0
2021-01-13,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,222000.0
2024-05-03,PXK,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,188168323.6
2024-05-13,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,176300054.0
2023-10-14,BH2,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,3052400.0
2021-12-14,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,8399995540.0
2022-07-07,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,44422800.0
2023-02-28,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,380317264.0
2021-06-10,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,6220000.0
2024-03-30,BH2,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,1140000.0
2023-05-16,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,28748560.0
2024-11-05,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,142535110.0
2021-01-20,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,101725600.0
2024-07-26,PXK,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,2046710923.0
2023-04-21,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,4846800.0
2021-08-13,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,435600.0
2024-01-03,BH1,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,3056000.0
2022-02-15,BH2,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,3215000.0
2023-11-27,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,13433900.0
2023-02-24,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,6559963765.0
2025-02-14,PXK,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,3849737090.0
2023-08-04,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,96568200.0
2021-12-20,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,3049177770.0
2021-08-31,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,26847000.0
2024-04-02,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,58556000.0
2024-04-05,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,100097100.0
2021-07-24,BH2,L4,4- SP LOCAL,Local,A004,B019,4100000.0
2023-10-17,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,998509750.0
2024-02-29,BH1,L5,5- SP IOT,IoT,A005,B013,8869600.0
2021-06-04,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,411061720.0
2022-07-30,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,18442777.79
2024-06-21,BH2,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,2066000.0
2024-01-03,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,827306600.0
2024-01-09,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,1431263900.0
2022-06-18,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,51384000.0
2023-07-04,BH2,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,6762960.0
2024-08-05,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,229469100.0
2023-10-03,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,4116000.0
2024-06-30,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,259132287.0
2022-09-09,BH1,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,31499970.0
2025-02-26,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,970928245.0
2023-10-28,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,1057155745.0
2024-01-22,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,890588035.6
2021-11-26,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,16092000.0
2020-09-23,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,330562760.0
2021-07-19,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,1713907050.0
2022-01-23,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,319519900.0
2022-08-17,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,49871500.0
2023-07-19,BH2,L5,5- SP IOT,IoT,A005,B013,7173911.0
