Date,Department,Ma_nhom_NSP1,NSP1_Name,NSP2_Name,NSP1_Code,NSP2_Code,Deliver,Deliver_Plan,Plan_Type,Created_At
6/3/2021,BH2,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,55728460,,,18:20.0
2/26/2025,BH1,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,753100,,,18:20.0
1/27/2022,BH2,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,197385400,,,18:20.0
6/16/2021,BH1,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,1209302840,,,18:20.0
11/23/2023,BH1,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,600902279,,,18:20.0
11/28/2024,BH2,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,46391493,,,18:20.0
1/31/2023,BH2,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,5245740369,,,18:20.0
12/9/2023,BH1,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,6895339457,,,18:20.0
4/15/2022,BH1,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,281089030,,,18:20.0
10/17/2023,BH2,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,78883400,,,18:20.0
6/21/2024,BH1,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,11830000,,,18:20.0
11/24/2022,BH1,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,73961750,,,18:20.0
3/30/2024,BH2,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,84936000,,,18:20.0
5/6/2023,BH1,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,24260000,,,18:20.0
8/24/2020,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,87779460,,,18:20.0
7/1/2024,BH2,L3,3- SP SMART,Thi?t b? ?i?n thông minh,A003,B020,1399900,,,18:20.0
11/24/2020,BH2,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,214756540,,,18:20.0
6/30/2024,BH1,L6,6- KD DV & Tr?i nghi?m KH,KD DV & Tr?i nghi?m KH,A006,B017,28321482,,,18:20.0
5/25/2024,BH2,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,60517500,,,18:20.0
2/5/2024,BH2,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,284608148,,,18:20.0
10/19/2024,BH2,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,109105200,,,18:20.0
1/4/2022,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,60543000,,,18:20.0
1/1/2025,BH1,L5,5- SP IOT,,A005,,,0,Quy,18:20.0
12/8/2021,PXK,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,571498020,,,18:20.0
11/12/2021,BH1,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,472474480,,,18:20.0
9/7/2022,BH2,L1,1- SP Công ngh? n?n,"Chao, choá",A001,B012,3564800,,,18:20.0
8/4/2021,BH1,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,33720000,,,18:20.0
2/23/2023,BH2,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,830000,,,18:20.0
1/9/2025,BH2,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,115142024,,,18:20.0
4/3/2024,BH1,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,265538570.4,,,18:20.0
7/30/2021,BH2,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,92156100,,,18:20.0
12/9/2023,BH2,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,13563934,,,18:20.0
1/13/2023,BH2,L5,5- SP IOT,IoT,A005,B013,26036280,,,18:20.0
10/27/2021,BH1,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,9484000,,,18:20.0
9/19/2022,PXK,L2,2- SP Ch?t l??ng cao,SP LED G20,A002,B016,1292723645,,,18:20.0
2/21/2023,BH1,L1,1- SP Công ngh? n?n,"Chao, choá",A001,B012,28148000,,,18:20.0
12/11/2020,BH1,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,599886120,,,18:20.0
2/21/2022,BH2,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,10458400,,,18:20.0
11/8/2023,PXK,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,0,,,18:20.0
8/20/2020,BH1,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,425400,,,18:20.0
5/7/2024,BH2,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,260000,,,18:20.0
4/20/2023,BH1,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,4246560512,,,18:20.0
7/19/2023,BH2,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,180646800,,,18:20.0
1/9/2024,BH2,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,52533900,,,18:20.0
7/1/2024,TMND,L3,3- SP SMART,,A003,,,,Thang,18:20.0
3/11/2024,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,212099890,,,18:20.0
6/14/2022,BH2,L1,1- SP Công ngh? n?n,Ballat ?èn Hu?nh quang,A001,B014,6070000,,,18:20.0
4/1/2022,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,260485600,,,18:20.0
9/1/2024,BH2,,,,,,,0.0002,Thang,18:20.0
5/30/2024,PXK,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,1030412100,,,18:20.0
9/13/2023,BH1,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,165191800,,,18:20.0
2/23/2024,BH1,L1,1- SP Công ngh? n?n,Ballat ?èn Hu?nh quang,A001,B014,2230000,,,18:20.0
9/3/2021,BH1,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,261430200,,,18:20.0
9/28/2023,BH2,L5,5- SP IOT,IoT,A005,B013,99661873.2,,,18:20.0
2/9/2023,BH2,L1,1- SP Công ngh? n?n,Ballat ?èn Hu?nh quang,A001,B014,11400000,,,18:20.0
8/1/2024,TMND,L2,2- SP Ch?t l??ng cao,,A002,,,,Thang,18:20.0
9/25/2023,BH1,L5,5- SP IOT,IoT,A005,B013,6831593,,,18:20.0
5/12/2021,BH1,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,4579200,,,18:20.0
5/30/2022,BH2,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,24643800,,,18:20.0
7/5/2022,BH1,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,716774300,,,18:20.0
11/2/2022,BH1,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,39947320,,,18:20.0
8/1/2024,CTY,L1,1- SP Công ngh? n?n,Ballat ?èn Hu?nh quang,A001,B014,,,Thang,18:20.0
1/1/2025,BH1,L6,6- KD DV & Tr?i nghi?m KH,,A006,,,0,Thang,18:20.0
7/27/2022,BH2,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,191030295,,,18:20.0
11/12/2024,PXK,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,1336678677,,,18:20.0
3/15/2024,PXK,L2,2- SP Ch?t l??ng cao,SP LED G20,A002,B016,5097898733,,,18:20.0
5/25/2021,BH1,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,23709800,,,18:20.0
9/9/2022,BH1,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,2442613010,,,18:20.0
8/31/2022,BH2,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,38779500,,,18:20.0
7/17/2020,BH1,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,28785400,,,18:20.0
3/1/2025,TMND,,,,,,,,Thang,18:20.0
7/1/2024,BH2,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,,18234936870,Thang,18:20.0
12/6/2023,BH2,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,3329875818,,,18:20.0
1/25/2022,BH2,L5,5- SP IOT,IoT,A005,B013,96385500,,,18:20.0
9/11/2024,BH2,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,220469500,,,18:20.0
12/30/2023,BH2,L2,2- SP Ch?t l??ng cao,Phích th? hi?n nhi?t ??,A002,B010,32270800,,,18:20.0
5/24/2021,BH2,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,6044440670,,,18:20.0
1/21/2022,BH2,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,31600200,,,18:20.0
9/20/2022,BH1,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,4546752168,,,18:20.0
12/24/2022,BH1,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,142982100,,,18:20.0
11/11/2023,BH1,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,192463220,,,18:20.0
7/13/2024,BH2,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,121104000,,,18:20.0
6/24/2021,BH2,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,2342398900,,,18:20.0
9/5/2024,BH2,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,117070559,,,18:20.0
12/24/2022,BH1,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,160026962.9,,,18:20.0
6/30/2022,BH2,L3,3- SP SMART,Thi?t b? ?i?n thông minh,A003,B020,99106730,,,18:20.0
1/10/2025,BH2,L2,2- SP Ch?t l??ng cao,Phích th? hi?n nhi?t ??,A002,B010,432000,,,18:20.0
2/10/2025,BH1,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,226850645,,,18:20.0
10/20/2021,BH2,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,1658500,,,18:20.0
12/23/2021,BH2,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,9061816340,,,18:20.0
11/3/2022,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,492612700,,,18:20.0
2/28/2021,BH1,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,754661500,,,18:20.0
10/17/2020,BH2,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,118886400,,,18:20.0
11/7/2020,BH2,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,175000000,,,18:20.0
3/3/2021,BH2,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,542731000,,,18:20.0
1/14/2025,BH2,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,841497100,,,18:20.0
3/8/2021,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,583621440,,,18:20.0
9/8/2022,BH1,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,721776400,,,18:20.0
10/1/2024,BH2,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,2679900,,,18:20.0
8/27/2022,BH2,L2,2- SP Ch?t l??ng cao,Phích th? hi?n nhi?t ??,A002,B010,347000,,,18:20.0
12/23/2022,BH2,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,71756592,,,18:20.0
10/20/2021,BH2,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,444421516,,,18:20.0
7/21/2021,BH2,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,3052800,,,18:20.0
12/5/2023,BH2,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,61963440,,,18:20.0
12/15/2022,BH2,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,90274900,,,18:20.0
9/17/2022,BH2,L1,1- SP Công ngh? n?n,"Chao, choá",A001,B012,9071440,,,18:20.0
2/27/2023,BH2,L1,1- SP Công ngh? n?n,"Chao, choá",A001,B012,5988500,,,18:20.0
7/18/2023,BH2,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,102003000,,,18:20.0
1/5/2024,BH1,L3,3- SP SMART,S?n ph?m n?n t?ng,A003,B018,41652000,,,18:20.0
1/13/2024,BH1,L2,2- SP Ch?t l??ng cao,Phích th? hi?n nhi?t ??,A002,B010,1367200,,,18:20.0
3/30/2024,BH2,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,155357000,,,18:20.0
10/30/2021,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,1091151060,,,18:20.0
4/12/2023,BH2,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,2129648860,,,18:20.0
11/28/2024,BH2,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,11539000,,,18:20.0
10/4/2023,BH2,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,34971546,,,18:20.0
6/25/2022,BH1,L1,1- SP Công ngh? n?n,"Chao, choá",A001,B012,7161080,,,18:20.0
4/2/2021,BH1,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,850000,,,18:20.0
9/22/2023,BH1,L2,2- SP Ch?t l??ng cao,SP LED G20,A002,B016,765000,,,18:20.0
10/9/2020,BH2,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,31923960,,,18:20.0
3/5/2024,BH1,L1,1- SP Công ngh? n?n,"Chao, choá",A001,B012,7124000,,,18:20.0
9/28/2024,BH1,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,36000000,,,18:20.0
7/13/2021,BH2,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,11229000,,,18:20.0
9/19/2023,BH2,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,586502780,,,18:20.0
4/10/2023,BH1,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,197686700,,,18:20.0
7/9/2024,BH2,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,1863500,,,18:20.0
12/1/2024,BH1,L4,4- SP LOCAL,,A004,,,0,Thang,18:20.0
11/16/2021,BH1,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,370500,,,18:20.0
8/19/2021,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,131836000,,,18:20.0
1/30/2023,BH2,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,31957800,,,18:20.0
12/3/2024,BH2,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,810480000,,,18:20.0
5/1/2024,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,54262548.15,,,18:20.0
1/1/2025,TMND_BH1,,,,,,,2.5E+11,Thang,18:20.0
5/6/2023,BH2,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,2065553078,,,18:20.0
10/11/2024,BH1,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,19372000,,,18:20.0
9/5/2020,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,227159572.8,,,18:20.0
9/5/2023,BH1,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,11929400,,,18:20.0
4/22/2021,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,126621660,,,18:20.0
8/23/2022,PXK,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,334170600,,,18:20.0
10/3/2023,BH2,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,153879746,,,18:20.0
4/16/2021,BH1,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,52379400,,,18:20.0
5/18/2022,BH2,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,23233000,,,18:20.0
11/22/2024,BH2,L1,1- SP Công ngh? n?n,"Chao, choá",A001,B012,784300,,,18:20.0
2/13/2025,BH1,L1,1- SP Công ngh? n?n,"Chao, choá",A001,B012,19731400,,,18:20.0
6/24/2022,BH1,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,9565000,,,18:20.0
12/11/2022,BH1,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,358924080,,,18:20.0
1/9/2024,BH1,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,1989859026,,,18:20.0
3/12/2022,BH2,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,2186000,,,18:20.0
6/25/2022,BH1,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,1668633714,,,18:20.0
2/3/2021,BH2,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,340354800,,,18:20.0
7/21/2023,BH1,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,127100170,,,18:20.0
4/27/2023,PXK,L2,2- SP Ch?t l??ng cao,SP LED G20,A002,B016,8115360,,,18:20.0
3/14/2024,BH2,L5,5- SP IOT,IoT,A005,B013,3098521,,,18:20.0
10/11/2022,BH2,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,46457800,,,18:20.0
5/9/2022,BH2,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,318461326,,,18:20.0
4/5/2024,BH1,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,109156285.3,,,18:20.0
8/9/2023,BH1,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,4949200,,,18:20.0
6/23/2023,PXK,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,2536783872,,,18:20.0
7/1/2024,CTY,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,,,Thang,18:20.0
8/22/2024,BH2,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,15269400,,,18:20.0
7/1/2024,BH2,L5,5- SP IOT,,A005,,,0,Quy,18:20.0
10/1/2023,BH2,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,,13049061000,Thang,18:20.0
5/31/2024,BH1,L5,5- SP IOT,IoT,A005,B013,48021109.85,,,18:20.0
8/5/2024,BH1,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,36284000,,,18:20.0
11/18/2020,BH1,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,3039436570,,,18:20.0
8/22/2020,BH1,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,735000,,,18:20.0
3/26/2022,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,1119391510,,,18:20.0
12/29/2024,BH2,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,139528769,,,18:20.0
12/5/2023,BH2,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,314462260,,,18:20.0
2/12/2025,BH2,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,124204200,,,18:20.0
8/11/2023,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,116730000,,,18:20.0
11/22/2024,BH2,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,23781000,,,18:20.0
8/24/2023,BH2,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,6961500,,,18:20.0
4/10/2024,BH2,L2,2- SP Ch?t l??ng cao,Phích th? hi?n nhi?t ??,A002,B010,9386000,,,18:20.0
6/18/2021,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,7820700,,,18:20.0
10/5/2020,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,626744350,,,18:20.0
4/8/2023,BH1,L5,5- SP IOT,IoT,A005,B013,10649852,,,18:20.0
10/7/2022,BH2,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,1084200,,,18:20.0
6/21/2022,BH1,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,38966300,,,18:20.0
10/29/2020,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,84537900,,,18:20.0
6/24/2021,BH2,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,325058040,,,18:20.0
4/1/2021,BH1,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,53127780,,,18:20.0
2/10/2022,BH2,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,52020000,,,18:20.0
5/25/2024,BH2,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,56984400,,,18:20.0
6/23/2020,BH1,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,536812420,,,18:20.0
8/19/2024,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,321771340,,,18:20.0
12/24/2022,BH1,L3,3- SP SMART,Thi?t b? ?i?n thông minh,A003,B020,22953984,,,18:20.0
5/20/2022,BH1,L5,5- SP IOT,IoT,A005,B013,6030800,,,18:20.0
7/20/2022,BH1,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,2921155765,,,18:20.0
11/30/2023,BH1,L2,2- SP Ch?t l??ng cao,Phích th? hi?n nhi?t ??,A002,B010,469444,,,18:20.0
2/13/2022,BH2,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,245104000,,,18:20.0
2/4/2025,BH1,L5,5- SP IOT,IoT,A005,B013,3028100,,,18:20.0
8/30/2021,BH1,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,924000,,,18:20.0
